Modelo,RMSE_treino_medio,RMSE_teste_medio,R2_treino_medio,R2_teste_medio
Regressão Linear,0.21792746050121803,0.2833771243037043,0.9663618682607517,0.942721126903493
Árvore de Decisão,0.16017353169550494,0.26266459133470843,0.9815781404629169,0.9503771937478053
Random Forest,0.22373897659715297,0.272385764530506,0.9644905540409413,0.9472556611710221
