RMSE_teste,MAE_teste,R2_teste,RMSE_treino,R2_treino
0.2548006991683771,0.13644426226134834,0.9494610982329225,0.210191577677424,0.9695294090669262
0.3693096989152557,0.16035716151841056,0.9282058953645019,0.22223086249904989,0.9621758972411167
0.23817546089100244,0.10607917960346977,0.9562047118158306,0.225202321527165,0.965264163252715
0.23339330654685866,0.10487939113225905,0.9600720028775831,0.23380418160781524,0.9621715952662746
0.24031846680746222,0.11399900056961483,0.9586165056211621,0.21026882598910251,0.9690194492191567
0.18763085753948647,0.08737702859510273,0.9679355521060327,0.22413047071472209,0.9666838897256789
0.31874099212438567,0.1448701321479253,0.92514062249935,0.2295927539402031,0.9635243583275147
0.3900664961406475,0.15710164542949792,0.9179901996273131,0.2212462838561415,0.9629049975429785
0.2492777609621393,0.11367818765828096,0.9543927274438383,0.2142852468562639,0.9681644535023625
0.3354989678623682,0.14572228733911996,0.9296189961559006,0.22966893543383207,0.9609264562576578
0.34669091824475884,0.14926275880569997,0.915845832155484,0.21274571599249567,0.9683200336069387
0.20900580374193203,0.09189487804892045,0.9653623807107856,0.24315517002048337,0.9596350991515524
0.2202745159267216,0.09328706450067872,0.9687866135849752,0.22878266571536074,0.9623759112300725
0.1744067812124526,0.0919415449291155,0.9776748819157755,0.22284866784253268,0.96561820205216
0.37083474920421533,0.16581692076930668,0.915974249066086,0.22348199895953377,0.963561819442182
0.3148518532439331,0.1415248777052205,0.9292724818128287,0.20714571239060534,0.9701058379086367
0.1358039637123644,0.07534642527387149,0.9867441501852876,0.23201215140414946,0.9620117814486252
0.2758278056542011,0.10120825323345282,0.9530544643108199,0.23435791175665918,0.960219169118107
0.32185536260077735,0.1478589545553889,0.9359953131924222,0.2427634176802859,0.9570653752188644
0.26095083011078135,0.12257681186181534,0.9487645447415436,0.20686466007923374,0.9705331822393054
