Modelo,RMSE_medio,MAE_medio,R2_medio
Regressão Linear,0.2833771243037043,0.16256755266547745,0.942721126903493
Árvore de Decisão,0.26266459133470843,0.08013568369987194,0.9503771937478053
Random Forest,0.272385764530506,0.12256133829692495,0.9472556611710221
