RMSE_teste,MAE_teste,R2_teste,RMSE_treino,R2_treino
0.22765961812754507,0.07003030303030303,0.9596543631042574,0.16108933814135043,0.982102851106176
0.35741414769444385,0.10939393939393947,0.9327564186348194,0.18579999403258157,0.9735606190405728
0.1995304863071966,0.06719047619047618,0.969263679085414,0.18450486419498574,0.9766843418590143
0.25125199764508516,0.07584313725490192,0.9537278393857658,0.17194253028335935,0.9795412024241541
0.2859681411936962,0.0942222222222222,0.9414012738853503,0.12313265182013518,0.9893760548440529
0.2887536749675339,0.08158730158730157,0.9240600547213704,0.15365691498754946,0.9843412639536526
0.22980063823526106,0.07100000000000001,0.9610889605711291,0.15705270401831634,0.9829322048328921
0.3754441813816447,0.11299999999999999,0.9240235123610578,0.13531827958298043,0.9861236140779168
0.19690159495351503,0.0612857142857143,0.9715445473270206,0.1721467279353394,0.9794540933443825
0.2418799909660837,0.08794152046783638,0.9634175348580081,0.17207671902536534,0.9780657635986426
0.26741264364035994,0.08402614379084965,0.949932653580989,0.1503706047570523,0.9841733514726531
0.1673813876320179,0.03575757575757576,0.977785033097461,0.18394982813887562,0.9768987411341363
0.30340589365596715,0.1025668308702792,0.9407810908375326,0.1889097187383655,0.9743475788535659
0.27400934054455506,0.06738675958188142,0.9448941423904816,0.1439274172682416,0.9856584674288935
0.25255147697194336,0.0894358974358974,0.9610281177570069,0.14542150617584473,0.9845713166527934
0.29409340302906395,0.07920634920634921,0.9382912887377173,0.15724272550828775,0.9827743501939288
0.15622516802956005,0.04400311708552504,0.9824577747146708,0.18959299850780886,0.9746328278686668
0.1845916413981795,0.04888888888888889,0.9789746965043148,0.1551781800335615,0.9825588178106164
0.3479215518926418,0.13072527472527468,0.9252083798026651,0.12905910834013656,0.987865594427086
0.3510948484278751,0.08922222222222223,0.9072525135990726,0.14309782241996072,0.9858997543345392
