RMSE_teste,MAE_teste,R2_teste,RMSE_treino,R2_treino
0.2638562535766521,0.16092287275135794,0.9458049834829471,0.2189345041895257,0.9669418397291708
0.27717343725947463,0.16270107547029258,0.9595600535221267,0.21773991393596306,0.9636891859892636
0.2979019597604411,0.1547211764707232,0.931485880570443,0.21467788213851088,0.9684349382678444
0.2547517886393183,0.15748757181941586,0.9524297738846765,0.21976771680610563,0.9665773199957084
0.27358709319390156,0.17386642115078538,0.9463655192626913,0.2237552724626979,0.9649178735191472
0.21338018165327807,0.14075503508108286,0.9585310154932932,0.23230492923424384,0.9642093706922874
0.2905776317788072,0.17537368128672834,0.937785053640652,0.21199079407295002,0.9689028499552241
0.29675272360678384,0.15968052123644985,0.9525345192894549,0.21669501836090263,0.9644154654785848
0.3899577736019556,0.19664068104154817,0.8883902346413959,0.20848298079819907,0.9698651536386064
0.27201696595339403,0.1528108123419198,0.9537336685819802,0.21787103916876985,0.9648376982986893
0.3370191260219627,0.20672191114061508,0.9204757109051012,0.20419214529467988,0.9708162478029837
0.21230881026518192,0.12438314197221284,0.9642589443327149,0.22966549280389134,0.963989564904738
0.2503978299848681,0.14625231524714039,0.9596657951630991,0.2287143740287888,0.9623983694786872
0.23385127883214052,0.14881152517427118,0.959862850216691,0.22472356675893737,0.9650372376876017
0.3017324258651929,0.17040524540687982,0.9443717336949784,0.20852293325344803,0.9682766356074516
0.32965361195974896,0.17750098448262303,0.9224661073929019,0.21032474160567105,0.9691812360729689
0.3122971681516208,0.16293834987564737,0.9298998777217212,0.22738626910050275,0.9635115061407282
0.20080776161188374,0.11721054893476689,0.9751183486375483,0.23232783922248976,0.9609053691076918
0.38552661188904536,0.19101316828960016,0.9081669515960141,0.19511016756968996,0.9722667357516496
0.27399205246843367,0.17115401413548847,0.9435155160394275,0.21536162921839294,0.9680627670960038
